symbol,successful_source,successful_attempt_order,fallback_used,attempted_sources,failed_sources,errors
300070.SZ,eastmoney,1.0,False,eastmoney,,
300072.SZ,eastmoney,1.0,False,eastmoney,,
300080.SZ,eastmoney,1.0,False,eastmoney,,
300086.SZ,eastmoney,1.0,False,eastmoney,,
300088.SZ,eastmoney,1.0,False,eastmoney,,
300092.SZ,eastmoney,1.0,False,eastmoney,,
300094.SZ,eastmoney,1.0,False,eastmoney,,
300100.SZ,eastmoney,1.0,False,eastmoney,,
300106.SZ,eastmoney,1.0,False,eastmoney,,
300110.SZ,eastmoney,1.0,False,eastmoney,,
300149.SZ,eastmoney,1.0,False,eastmoney,,
300157.SZ,eastmoney,1.0,False,eastmoney,,
300158.SZ,eastmoney,1.0,False,eastmoney,,
300166.SZ,eastmoney,1.0,False,eastmoney,,
300171.SZ,eastmoney,1.0,False,eastmoney,,
300188.SZ,eastmoney,1.0,False,eastmoney,,
300191.SZ,eastmoney,1.0,False,eastmoney,,
300194.SZ,eastmoney,1.0,False,eastmoney,,
300201.SZ,eastmoney,1.0,False,eastmoney,,
300209.SZ,eastmoney,1.0,False,eastmoney,,
300222.SZ,eastmoney,1.0,False,eastmoney,,
300225.SZ,eastmoney,1.0,False,eastmoney,,
300233.SZ,eastmoney,1.0,False,eastmoney,,
300259.SZ,eastmoney,1.0,False,eastmoney,,
300265.SZ,eastmoney,1.0,False,eastmoney,,
300267.SZ,eastmoney,1.0,False,eastmoney,,
300268.SZ,eastmoney,1.0,False,eastmoney,,
300272.SZ,eastmoney,1.0,False,eastmoney,,
300274.SZ,eastmoney,1.0,False,eastmoney,,
300275.SZ,eastmoney,1.0,False,eastmoney,,
300277.SZ,eastmoney,1.0,False,eastmoney,,
300278.SZ,eastmoney,1.0,False,eastmoney,,
300293.SZ,eastmoney,1.0,False,eastmoney,,
300294.SZ,eastmoney,1.0,False,eastmoney,,
300298.SZ,eastmoney,1.0,False,eastmoney,,
300305.SZ,eastmoney,1.0,False,eastmoney,,
300310.SZ,eastmoney,1.0,False,eastmoney,,
300332.SZ,eastmoney,1.0,False,eastmoney,,
300340.SZ,eastmoney,1.0,False,eastmoney,,
300342.SZ,eastmoney,1.0,False,eastmoney,,
300343.SZ,eastmoney,1.0,False,eastmoney,,
300345.SZ,eastmoney,1.0,False,eastmoney,,
300351.SZ,eastmoney,1.0,False,eastmoney,,
300354.SZ,eastmoney,1.0,False,eastmoney,,
300365.SZ,eastmoney,1.0,False,eastmoney,,
300382.SZ,eastmoney,1.0,False,eastmoney,,
300389.SZ,eastmoney,1.0,False,eastmoney,,
300393.SZ,eastmoney,1.0,False,eastmoney,,
300395.SZ,eastmoney,1.0,False,eastmoney,,
300398.SZ,eastmoney,1.0,False,eastmoney,,
300399.SZ,eastmoney,1.0,False,eastmoney,,
300402.SZ,eastmoney,1.0,False,eastmoney,,
300403.SZ,eastmoney,1.0,False,eastmoney,,
300404.SZ,eastmoney,1.0,False,eastmoney,,
300412.SZ,eastmoney,1.0,False,eastmoney,,
300422.SZ,eastmoney,1.0,False,eastmoney,,
300426.SZ,eastmoney,1.0,False,eastmoney,,
300438.SZ,eastmoney,1.0,False,eastmoney,,
300449.SZ,eastmoney,1.0,False,eastmoney,,
300455.SZ,eastmoney,1.0,False,eastmoney,,
300461.SZ,eastmoney,1.0,False,eastmoney,,
300466.SZ,eastmoney,1.0,False,eastmoney,,
300470.SZ,eastmoney,1.0,False,eastmoney,,
300473.SZ,eastmoney,1.0,False,eastmoney,,
300474.SZ,eastmoney,1.0,False,eastmoney,,
300486.SZ,eastmoney,1.0,False,eastmoney,,
300488.SZ,eastmoney,1.0,False,eastmoney,,
300496.SZ,eastmoney,1.0,False,eastmoney,,
300509.SZ,eastmoney,1.0,False,eastmoney,,
300513.SZ,eastmoney,1.0,False,eastmoney,,
300517.SZ,eastmoney,1.0,False,eastmoney,,
300518.SZ,eastmoney,1.0,False,eastmoney,,
300519.SZ,eastmoney,1.0,False,eastmoney,,
300520.SZ,eastmoney,1.0,False,eastmoney,,
300528.SZ,eastmoney,1.0,False,eastmoney,,
300538.SZ,eastmoney,1.0,False,eastmoney,,
300539.SZ,eastmoney,1.0,False,eastmoney,,
300546.SZ,eastmoney,1.0,False,eastmoney,,
300548.SZ,eastmoney,1.0,False,eastmoney,,
300552.SZ,eastmoney,1.0,False,eastmoney,,
300554.SZ,eastmoney,1.0,False,eastmoney,,
300571.SZ,eastmoney,1.0,False,eastmoney,,
300575.SZ,eastmoney,1.0,False,eastmoney,,
300579.SZ,eastmoney,1.0,False,eastmoney,,
300588.SZ,eastmoney,1.0,False,eastmoney,,
300590.SZ,eastmoney,1.0,False,eastmoney,,
300592.SZ,eastmoney,1.0,False,eastmoney,,
300593.SZ,eastmoney,1.0,False,eastmoney,,
300605.SZ,eastmoney,1.0,False,eastmoney,,
300613.SZ,eastmoney,1.0,False,eastmoney,,
300619.SZ,eastmoney,1.0,False,eastmoney,,
300626.SZ,eastmoney,1.0,False,eastmoney,,
300633.SZ,eastmoney,1.0,False,eastmoney,,
300635.SZ,eastmoney,1.0,False,eastmoney,,
300642.SZ,eastmoney,1.0,False,eastmoney,,
300644.SZ,eastmoney,1.0,False,eastmoney,,
300645.SZ,eastmoney,1.0,False,eastmoney,,
300651.SZ,eastmoney,1.0,False,eastmoney,,
300658.SZ,eastmoney,1.0,False,eastmoney,,
300659.SZ,eastmoney,1.0,False,eastmoney,,
300679.SZ,eastmoney,1.0,False,eastmoney,,
300681.SZ,eastmoney,1.0,False,eastmoney,,
300684.SZ,eastmoney,1.0,False,eastmoney,,
300687.SZ,eastmoney,1.0,False,eastmoney,,
300688.SZ,eastmoney,1.0,False,eastmoney,,
300690.SZ,eastmoney,1.0,False,eastmoney,,
300709.SZ,eastmoney,1.0,False,eastmoney,,
300710.SZ,eastmoney,1.0,False,eastmoney,,
300712.SZ,eastmoney,1.0,False,eastmoney,,
300713.SZ,eastmoney,1.0,False,eastmoney,,
