date,rows,selected_count,unknown_rows,unknown_selected_count,unknown_row_ratio,unknown_selected_ratio,path
2019-02-21,245,243,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-02-22,245,243,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-02-25,245,243,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-02-26,245,243,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-02-27,245,244,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-02-28,244,243,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-03-01,245,244,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-03-04,245,244,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-03-05,245,244,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-03-06,245,244,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-03-07,245,244,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-03-08,245,244,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-03-11,245,244,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-03-12,245,244,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-03-13,244,243,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-03-14,244,243,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-03-15,244,243,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-03-18,244,244,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-03-19,244,244,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-03-20,244,244,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-03-21,242,242,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-03-22,242,242,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-03-25,242,242,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-03-26,242,242,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-03-27,243,243,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-03-28,242,242,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-03-29,243,243,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-04-01,242,242,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-04-02,242,242,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-04-03,241,241,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-04-04,243,243,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-04-08,244,244,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-04-09,243,243,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-04-10,243,243,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-04-11,243,243,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-04-12,243,243,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-04-15,243,243,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2019-04-16,243,243,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
