date,symbol,side,shares,price,execution_price,raw_value,execution_value,commission,stamp_tax,transfer_fee,slippage,total_cost,cash_after
2025-11-03,000705.SZ,buy,1700,9.63,9.631926,16371.000000000002,16374.2742,5.0,0.0,0.16371000000000002,3.274199999998018,8.437909999998018,137920.15468000033
2025-11-03,000713.SZ,buy,800,6.88,6.8813759999999995,5504.0,5505.100799999999,5.0,0.0,0.055040000000000006,1.1007999999992535,6.1558399999992535,132409.99884000033
2025-11-03,000725.SZ,buy,300,4.03,4.030806,1209.0,1209.2418,5.0,0.0,0.012090000000000002,0.241800000000012,5.253890000000012,131195.74495000034
2025-11-03,000735.SZ,buy,2500,7.32,7.321464,18300.0,18303.66,5.489999999999999,0.0,0.18300000000000002,3.6599999999998545,9.332999999999853,112886.41195000034
2025-11-03,000738.SZ,buy,1000,18.73,18.733746,18730.0,18733.746,5.619,0.0,0.18730000000000002,3.745999999999185,9.552299999999185,94146.85965000035
2025-11-03,000767.SZ,buy,6600,2.96,2.960592,19536.0,19539.9072,5.860799999999999,0.0,0.19536,3.907200000001467,9.963360000001465,74600.89629000035
2025-11-03,000779.SZ,buy,700,8.91,8.911782,6237.0,6238.2474,5.0,0.0,0.06237,1.247400000000198,6.3097700000001975,68357.58652000036
2025-11-03,000825.SZ,buy,4300,4.22,4.220844,18146.0,18149.6292,5.4437999999999995,0.0,0.18146,3.6291999999994005,9.254459999999401,50202.332060000364
2025-11-03,000858.SZ,buy,100,115.81,115.833162,11581.0,11583.3162,5.0,0.0,0.11581000000000001,2.3161999999992986,7.432009999999298,38613.90005000037
2025-11-03,000860.SZ,buy,200,15.67,15.673134,3134.0,3134.6268,5.0,0.0,0.03134,0.6268000000000029,5.658140000000003,35474.24191000037
2025-12-01,000012.SZ,sell,600,4.67,4.669066,2802.0,2801.4396,5.0,1.401,0.028020000000000003,0.560399999999845,6.9894199999998445,38269.25249000037
2025-12-01,000030.SZ,sell,3600,5.49,5.488902,19764.0,19760.0472,5.9292,9.882,0.19764,3.9527999999991152,19.961639999999115,58013.29085000037
2025-12-01,000037.SZ,sell,2300,8.95,8.94821,20585.0,20580.882999999998,6.1754999999999995,10.2925,0.20585,4.117000000002008,20.79085000000201,78577.50000000036
