date,industry,portfolio_weight,benchmark_weight,active_weight
2026-05-18,D 水电煤气,0.0,0.011752136752136752,-0.011752136752136752
2026-05-18,F 批发零售,0.0,0.019230769230769232,-0.019230769230769232
2026-05-18,C 制造业,0.3369110572494882,0.38995726495726496,-0.05304620770777674
2026-05-18,unknown,0.3806015908704718,0.4465811965811966,-0.06597960571072481
2026-05-19,I 信息技术,0.0808697308770508,0.049145299145299144,0.03172443173175165
2026-05-19,A 农林牧渔,0.0200088106984114,0.005341880341880342,0.014666930356531058
2026-05-19,B 采矿业,0.01976225544212,0.005341880341880342,0.014420375100239658
2026-05-19,K 房地产,0.0198344069575963,0.007478632478632479,0.01235577447896382
2026-05-19,L 商务服务,0.0188378668779105,0.009615384615384616,0.009222482262525884
2026-05-19,G 运输仓储,0.0165363263621941,0.007478632478632479,0.009057693883561622
2026-05-19,C 制造业,0.3942406064004953,0.38995726495726496,0.004283341443230337
2026-05-19,M 科研服务,0.0155501815926466,0.013888888888888888,0.0016612927037577118
2026-05-19,F 批发零售,0.0198298726306744,0.019230769230769232,0.0005991033999051681
2026-05-19,P 教育,0.0,0.002136752136752137,-0.002136752136752137
2026-05-19,Q 卫生,0.0,0.002136752136752137,-0.002136752136752137
2026-05-19,R 文化传播,0.0,0.004273504273504274,-0.004273504273504274
2026-05-19,E 建筑业,0.0,0.007478632478632479,-0.007478632478632479
2026-05-19,J 金融业,0.0,0.007478632478632479,-0.007478632478632479
2026-05-19,N 公共环保,0.0,0.010683760683760684,-0.010683760683760684
2026-05-19,D 水电煤气,0.0,0.011752136752136752,-0.011752136752136752
2026-05-19,unknown,0.384007280300814,0.4465811965811966,-0.06257391628038261
2026-05-20,L 商务服务,0.0386825656806398,0.009625668449197862,0.029056897231441933
2026-05-20,I 信息技术,0.0778212359611278,0.04919786096256684,0.028623374998560963
2026-05-20,C 制造业,0.4164717757469497,0.39037433155080214,0.026097444196147568
2026-05-20,A 农林牧渔,0.019920923246592,0.0053475935828877,0.0145733296637043
2026-05-20,B 采矿业,0.0195356764706213,0.0053475935828877,0.0141880828877336
2026-05-20,K 房地产,0.0192432318287476,0.0074866310160427805,0.01175660081270482
2026-05-20,F 批发零售,0.0193598109651119,0.019251336898395723,0.00010847406671617849
2026-05-20,P 教育,0.0,0.0021390374331550803,-0.0021390374331550803
2026-05-20,Q 卫生,0.0,0.0021390374331550803,-0.0021390374331550803
2026-05-20,R 文化传播,0.0,0.0042780748663101605,-0.0042780748663101605
2026-05-20,E 建筑业,0.0,0.006417112299465241,-0.006417112299465241
2026-05-20,G 运输仓储,0.0,0.0074866310160427805,-0.0074866310160427805
2026-05-20,J 金融业,0.0,0.0074866310160427805,-0.0074866310160427805
2026-05-20,N 公共环保,0.0,0.0106951871657754,-0.0106951871657754
2026-05-20,D 水电煤气,0.0,0.011764705882352941,-0.011764705882352941
2026-05-20,M 科研服务,0.0,0.013903743315508022,-0.013903743315508022
2026-05-20,unknown,0.3787362706965105,0.4470588235294118,-0.06832255283290128
2026-05-21,C 制造业,0.4336338190145746,0.3895410885805763,0.044092730433998306
2026-05-21,A 农林牧渔,0.0195937070338235,0.005336179295624333,0.014257527738199167
2026-05-21,B 采矿业,0.019470348572765,0.0064034151547491995,0.013066933418015802
2026-05-21,K 房地产,0.0190864582106507,0.007470651013874066,0.011615807196776632
