symbol,successful_source,successful_attempt_order,fallback_used,attempted_sources,failed_sources,errors
302132.SZ,eastmoney,1,False,eastmoney,,
600000.SH,eastmoney,1,False,eastmoney,,
600004.SH,eastmoney,1,False,eastmoney,,
600009.SH,eastmoney,1,False,eastmoney,,
600011.SH,eastmoney,1,False,eastmoney,,
600015.SH,eastmoney,1,False,eastmoney,,
600016.SH,eastmoney,1,False,eastmoney,,
600019.SH,eastmoney,1,False,eastmoney,,
600023.SH,eastmoney,1,False,eastmoney,,
600025.SH,eastmoney,1,False,eastmoney,,
600026.SH,eastmoney,1,False,eastmoney,,
600028.SH,eastmoney,1,False,eastmoney,,
600030.SH,eastmoney,1,False,eastmoney,,
600031.SH,eastmoney,1,False,eastmoney,,
600032.SH,eastmoney,1,False,eastmoney,,
600036.SH,eastmoney,1,False,eastmoney,,
600038.SH,eastmoney,1,False,eastmoney,,
600039.SH,eastmoney,1,False,eastmoney,,
600048.SH,eastmoney,1,False,eastmoney,,
600050.SH,eastmoney,1,False,eastmoney,,
600060.SH,eastmoney,1,False,eastmoney,,
600061.SH,eastmoney,1,False,eastmoney,,
600066.SH,eastmoney,1,False,eastmoney,,
600085.SH,eastmoney,1,False,eastmoney,,
600089.SH,eastmoney,1,False,eastmoney,,
600095.SH,eastmoney,1,False,eastmoney,,
600098.SH,eastmoney,1,False,eastmoney,,
600100.SH,eastmoney,1,False,eastmoney,,
600104.SH,eastmoney,1,False,eastmoney,,
600111.SH,eastmoney,1,False,eastmoney,,
600118.SH,eastmoney,1,False,eastmoney,,
600131.SH,eastmoney,1,False,eastmoney,,
600141.SH,eastmoney,1,False,eastmoney,,
600143.SH,eastmoney,1,False,eastmoney,,
600153.SH,eastmoney,1,False,eastmoney,,
600160.SH,eastmoney,1,False,eastmoney,,
600161.SH,eastmoney,1,False,eastmoney,,
600166.SH,eastmoney,1,False,eastmoney,,
600170.SH,eastmoney,1,False,eastmoney,,
600171.SH,eastmoney,1,False,eastmoney,,
600176.SH,eastmoney,1,False,eastmoney,,
600177.SH,eastmoney,1,False,eastmoney,,
600183.SH,eastmoney,1,False,eastmoney,,
600188.SH,eastmoney,1,False,eastmoney,,
600196.SH,eastmoney,1,False,eastmoney,,
600208.SH,eastmoney,1,False,eastmoney,,
600219.SH,eastmoney,1,False,eastmoney,,
600233.SH,eastmoney,1,False,eastmoney,,
600276.SH,eastmoney,1,False,eastmoney,,
600282.SH,eastmoney,1,False,eastmoney,,
600292.SH,eastmoney,1,False,eastmoney,,
600298.SH,eastmoney,1,False,eastmoney,,
600299.SH,eastmoney,1,False,eastmoney,,
600309.SH,eastmoney,1,False,eastmoney,,
600312.SH,eastmoney,1,False,eastmoney,,
600329.SH,eastmoney,1,False,eastmoney,,
600332.SH,eastmoney,1,False,eastmoney,,
600339.SH,eastmoney,1,False,eastmoney,,
600346.SH,eastmoney,1,False,eastmoney,,
600348.SH,eastmoney,1,False,eastmoney,,
600352.SH,eastmoney,1,False,eastmoney,,
600363.SH,eastmoney,1,False,eastmoney,,
600369.SH,eastmoney,1,False,eastmoney,,
600372.SH,eastmoney,1,False,eastmoney,,
600377.SH,eastmoney,1,False,eastmoney,,
600378.SH,eastmoney,1,False,eastmoney,,
600380.SH,eastmoney,1,False,eastmoney,,
600390.SH,eastmoney,1,False,eastmoney,,
600392.SH,eastmoney,1,False,eastmoney,,
600398.SH,eastmoney,1,False,eastmoney,,
600415.SH,eastmoney,1,False,eastmoney,,
600426.SH,eastmoney,1,False,eastmoney,,
600435.SH,eastmoney,1,False,eastmoney,,
600436.SH,eastmoney,1,False,eastmoney,,
600438.SH,eastmoney,1,False,eastmoney,,
600460.SH,eastmoney,1,False,eastmoney,,
600482.SH,eastmoney,1,False,eastmoney,,
600483.SH,eastmoney,1,False,eastmoney,,
600497.SH,eastmoney,1,False,eastmoney,,
600498.SH,eastmoney,1,False,eastmoney,,
600499.SH,eastmoney,1,False,eastmoney,,
600511.SH,eastmoney,1,False,eastmoney,,
600515.SH,eastmoney,1,False,eastmoney,,
600517.SH,eastmoney,1,False,eastmoney,,
600521.SH,eastmoney,1,False,eastmoney,,
600522.SH,eastmoney,1,False,eastmoney,,
600546.SH,eastmoney,1,False,eastmoney,,
600547.SH,eastmoney,1,False,eastmoney,,
600549.SH,eastmoney,1,False,eastmoney,,
600562.SH,eastmoney,1,False,eastmoney,,
600563.SH,eastmoney,1,False,eastmoney,,
600566.SH,eastmoney,1,False,eastmoney,,
600570.SH,eastmoney,1,False,eastmoney,,
600578.SH,eastmoney,1,False,eastmoney,,
600582.SH,eastmoney,1,False,eastmoney,,
600583.SH,eastmoney,1,False,eastmoney,,
600584.SH,eastmoney,1,False,eastmoney,,
600585.SH,eastmoney,1,False,eastmoney,,
600588.SH,eastmoney,1,False,eastmoney,,
600595.SH,eastmoney,1,False,eastmoney,,
600601.SH,eastmoney,1,False,eastmoney,,
600602.SH,eastmoney,1,False,eastmoney,,
600637.SH,eastmoney,1,False,eastmoney,,
600642.SH,eastmoney,1,False,eastmoney,,
600655.SH,eastmoney,1,False,eastmoney,,
600660.SH,eastmoney,1,False,eastmoney,,
600674.SH,eastmoney,1,False,eastmoney,,
600685.SH,eastmoney,1,False,eastmoney,,
600688.SH,eastmoney,1,False,eastmoney,,
600690.SH,eastmoney,1,False,eastmoney,,
600699.SH,eastmoney,1,False,eastmoney,,
600704.SH,eastmoney,1,False,eastmoney,,
600711.SH,eastmoney,1,False,eastmoney,,
600737.SH,eastmoney,1,False,eastmoney,,
600741.SH,eastmoney,1,False,eastmoney,,
600760.SH,eastmoney,1,False,eastmoney,,
600763.SH,eastmoney,1,False,eastmoney,,
600764.SH,eastmoney,1,False,eastmoney,,
600765.SH,eastmoney,1,False,eastmoney,,
600795.SH,eastmoney,1,False,eastmoney,,
600801.SH,eastmoney,1,False,eastmoney,,
600808.SH,eastmoney,1,False,eastmoney,,
600809.SH,eastmoney,1,False,eastmoney,,
600816.SH,eastmoney,1,False,eastmoney,,
600845.SH,eastmoney,1,False,eastmoney,,
600848.SH,eastmoney,1,False,eastmoney,,
600862.SH,eastmoney,1,False,eastmoney,,
600863.SH,eastmoney,1,False,eastmoney,,
600871.SH,eastmoney,1,False,eastmoney,,
600873.SH,eastmoney,1,False,eastmoney,,
600875.SH,eastmoney,1,False,eastmoney,,
600879.SH,eastmoney,1,False,eastmoney,,
600885.SH,eastmoney,1,False,eastmoney,,
600886.SH,eastmoney,1,False,eastmoney,,
600887.SH,eastmoney,1,False,eastmoney,,
600900.SH,eastmoney,1,False,eastmoney,,
600901.SH,eastmoney,1,False,eastmoney,,
600905.SH,eastmoney,1,False,eastmoney,,
600906.SH,eastmoney,1,False,eastmoney,,
600909.SH,eastmoney,1,False,eastmoney,,
600926.SH,eastmoney,1,False,eastmoney,,
600927.SH,eastmoney,1,False,eastmoney,,
600930.SH,eastmoney,1,False,eastmoney,,
600938.SH,eastmoney,1,False,eastmoney,,
600941.SH,eastmoney,1,False,eastmoney,,
600958.SH,eastmoney,1,False,eastmoney,,
600967.SH,eastmoney,1,False,eastmoney,,
600968.SH,eastmoney,1,False,eastmoney,,
600970.SH,eastmoney,1,False,eastmoney,,
600985.SH,eastmoney,1,False,eastmoney,,
600988.SH,eastmoney,1,False,eastmoney,,
600989.SH,eastmoney,1,False,eastmoney,,
600995.SH,eastmoney,1,False,eastmoney,,
600998.SH,eastmoney,1,False,eastmoney,,
600999.SH,eastmoney,1,False,eastmoney,,
601000.SH,eastmoney,1,False,eastmoney,,
601001.SH,eastmoney,1,False,eastmoney,,
601006.SH,eastmoney,1,False,eastmoney,,
601009.SH,eastmoney,1,False,eastmoney,,
601012.SH,eastmoney,1,False,eastmoney,,
601018.SH,eastmoney,1,False,eastmoney,,
601019.SH,eastmoney,1,False,eastmoney,,
601021.SH,eastmoney,1,False,eastmoney,,
601058.SH,eastmoney,1,False,eastmoney,,
601066.SH,eastmoney,1,False,eastmoney,,
601077.SH,eastmoney,1,False,eastmoney,,
601088.SH,eastmoney,1,False,eastmoney,,
601099.SH,eastmoney,1,False,eastmoney,,
601100.SH,eastmoney,1,False,eastmoney,,
601106.SH,eastmoney,1,False,eastmoney,,
601108.SH,eastmoney,1,False,eastmoney,,
601111.SH,eastmoney,1,False,eastmoney,,
601112.SH,eastmoney,1,False,eastmoney,,
601117.SH,eastmoney,1,False,eastmoney,,
601118.SH,eastmoney,1,False,eastmoney,,
601127.SH,eastmoney,1,False,eastmoney,,
601128.SH,eastmoney,1,False,eastmoney,,
601136.SH,eastmoney,1,False,eastmoney,,
601138.SH,eastmoney,1,False,eastmoney,,
601139.SH,eastmoney,1,False,eastmoney,,
601156.SH,eastmoney,1,False,eastmoney,,
601166.SH,eastmoney,1,False,eastmoney,,
601169.SH,eastmoney,1,False,eastmoney,,
601179.SH,eastmoney,1,False,eastmoney,,
601186.SH,eastmoney,1,False,eastmoney,,
601198.SH,eastmoney,1,False,eastmoney,,
601211.SH,eastmoney,1,False,eastmoney,,
601212.SH,eastmoney,1,False,eastmoney,,
601216.SH,eastmoney,1,False,eastmoney,,
601228.SH,eastmoney,1,False,eastmoney,,
601229.SH,eastmoney,1,False,eastmoney,,
601233.SH,eastmoney,1,False,eastmoney,,
601236.SH,eastmoney,1,False,eastmoney,,
601238.SH,eastmoney,1,False,eastmoney,,
601288.SH,eastmoney,1,False,eastmoney,,
601298.SH,eastmoney,1,False,eastmoney,,
601318.SH,eastmoney,1,False,eastmoney,,
601319.SH,eastmoney,1,False,eastmoney,,
601336.SH,eastmoney,1,False,eastmoney,,
601360.SH,eastmoney,1,False,eastmoney,,
601377.SH,eastmoney,1,False,eastmoney,,
